Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Mon Sep 14 22:17:21 EDT 2020,TestPlayground.java,1600136241192,191416,0,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,0.1256544502617801,0.0,0.0,0.0,0.0,0.0,0.1256544502617801,0.0,[]
,/modelData/A0UserStudy2010.arff,Mon Sep 14 22:17:21 EDT 2020,TestPlayground.java, 1600136241192
2,,Mon Sep 14 22:20:32 EDT 2020,TestPlayground.java,1600136432610,3810,3810,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,[]
3,,Mon Sep 14 22:20:36 EDT 2020,TestPlayground.java,1600136436564,2473,2473,(I)3(R)4(I)6(R)2(I)4(R)2(I)1,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,[]
4,,Mon Sep 14 22:20:39 EDT 2020,TestPlayground.java,1600136439039,8426,8426,(I)17(R)4(I)1,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.5,2.25,0.0,[]
5,,Mon Sep 14 22:20:49 EDT 2020,TestPlayground.java,1600136449119,41796,0,(I)1(F)2(I)6(R)1(I)3(R)1(F)4(D)1(F)2(D)1,0.45454545454545453,9.090909090909092,0.0,36.36363636363637,0.0,0.0,0.5365853658536586,0.0,0.04878048780487805,0.1951219512195122,0.0,0.04878048780487805,0.24390243902439024,0.0,[]
6,,Mon Sep 14 22:21:30 EDT 2020,TestPlayground.java,1600136490915,100405,0,(D)4(F)7(D)1(F)3(D)1(F)2(D)5(F)2,0.0,44.0,0.0,56.00000000000001,0.0,0.0,0.25,0.0,0.11,0.14,0.0,0.0,0.0,0.0,[]
7,,Mon Sep 14 22:23:20 EDT 2020,TestPlayground.java,1600136600893,68606,0,(F)6(D)1(F)2(D)5(I)4(R)1(D)1,0.2,35.0,0.0,40.0,0.0,0.0,0.29411764705882354,0.0,0.10294117647058823,0.11764705882352941,0.0,0.014705882352941176,0.058823529411764705,0.0,[]
8,,Mon Sep 14 22:24:29 EDT 2020,TestPlayground.java,1600136669508,3922,3922,(D)4(I)3(R)4(I)2(R)3(I)7,0.5217391304347826,17.391304347826086,0.0,0.0,0.0,0.0,7.666666666666667,0.0,1.3333333333333333,0.0,0.0,2.3333333333333335,4.0,0.0,[]
9,,Mon Sep 14 22:24:33 EDT 2020,TestPlayground.java,1600136673494,4760,4760,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
10,,Mon Sep 14 22:24:31 EDT 2020,TestPlayground.java,1600136671371,8180,8180,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,[]
11,,Mon Sep 14 22:24:39 EDT 2020,TestPlayground.java,1600136679615,8987,8987,(I)11(R)2(I)5(R)4,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.75,2.0,0.0,[]
12,,Mon Sep 14 22:24:48 EDT 2020,TestPlayground.java,1600136688760,10070,0,(R)4(I)5(R)8(I)3,0.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.2,0.8,0.0,[]
