@relation social-distancing-safety

@attribute distance numeric
@attribute duration numeric
@attribute exhalationLevel numeric
@attribute safe {true, false}
@data
25,53,41,false
15,21,25,true
23,72,47,false
5,94,13,false
2,111,39,false
13,35,50,false
23,80,46,false
15,97,44,false
19,118,30,false
1,126,42,false
7,104,19,false
20,91,9,true
6,94,17,false
23,57,14,false
25,20,30,true
21,32,38,false
3,53,41,false
5,48,0,false
4,90,9,false
13,15,25,true
13,111,21,false
3,83,44,false
21,101,49,false
13,100,18,false
11,39,27,false
2,23,31,false
29,92,1,true
19,52,4,true
24,94,12,false
25,35,8,true
15,95,3,true
14,13,23,true
17,125,39,false
22,31,26,false
22,68,14,false
26,127,6,false
7,106,6,false
16,54,31,false
14,105,54,false
24,100,32,false
9,121,7,false
1,102,17,false
26,125,46,false
0,55,29,false
1,50,38,false
24,63,17,false
17,76,47,false
12,23,15,false
24,105,17,false
19,14,36,true
18,109,10,true
25,111,40,false
10,44,40,false
8,113,34,false
4,30,37,false
2,74,51,false
26,36,50,false
14,17,28,true
16,109,43,false
11,42,11,false
12,13,18,true
1,48,25,false
21,32,2,true
7,4,9,true
13,19,3,true
16,16,3,true
11,9,24,true
23,23,22,true
14,40,0,true
3,112,26,false
21,119,44,false
6,9,9,true
8,44,14,false
19,90,51,false
25,19,25,true
4,61,3,false
12,64,43,false
20,29,23,true
26,47,26,false
29,69,30,true
26,29,33,false
23,105,13,false
22,111,1,true
26,77,19,false
27,12,23,true
19,89,3,true
15,79,9,true
26,82,12,false
21,92,51,false
5,65,12,false
13,95,34,false
5,25,38,false
24,89,29,false
26,8,22,true
2,101,42,false
8,107,18,false
0,120,7,false
0,54,50,false
5,43,14,false
24,88,4,true
